,index,country_or_region,province_or_state,state_and_country,date,daily_new_cases,running_total_cases,running_total_cases_prev_day,daily_new_deaths,running_total_deaths,running_total_deaths_prev_day,data_source,lat,long,first_case_state_rank,first_case_country_rank,hundred_case_state_rank,hundred_case_country_rank,country_code_2,country_code_3,country_population_2018,country_median_age,country_running_agg,days_since_outbreak,daily_cases_pctchange,daily_cases_pctchange_roll7day
6505,13457,Italy,Not Provided,Not Provided-Italy,2020-02-22,42.0,62,20.0,1.0,2,1.0,JHU,43.0,12.0,2.0,2.0,,,IT,ITA,60431283.0,45.5,62,1.0,-0.7572254335260116,-0.7572254335260116
6506,13458,Italy,Not Provided,Not Provided-Italy,2020-02-23,93.0,155,62.0,1.0,3,2.0,JHU,43.0,12.0,3.0,3.0,1.0,1.0,IT,ITA,60431283.0,45.5,155,2.0,1.2142857142857144,0.22853014037985142
6507,13459,Italy,Not Provided,Not Provided-Italy,2020-02-24,74.0,229,155.0,4.0,7,3.0,JHU,43.0,12.0,4.0,4.0,2.0,2.0,IT,ITA,60431283.0,45.5,229,3.0,-0.20430107526881724,0.08425306849696186
6508,13460,Italy,Not Provided,Not Provided-Italy,2020-02-25,93.0,322,229.0,3.0,10,7.0,JHU,43.0,12.0,5.0,5.0,3.0,3.0,IT,ITA,60431283.0,45.5,322,4.0,0.2567567567567568,0.1273789905619106
6509,13461,Italy,Not Provided,Not Provided-Italy,2020-02-26,131.0,453,322.0,2.0,12,10.0,JHU,43.0,12.0,6.0,6.0,4.0,4.0,IT,ITA,60431283.0,45.5,453,5.0,0.4086021505376345,0.1836236225570554
6510,13462,Italy,Not Provided,Not Provided-Italy,2020-02-27,202.0,655,453.0,5.0,17,12.0,JHU,43.0,12.0,7.0,7.0,5.0,5.0,IT,ITA,60431283.0,45.5,655,6.0,0.5419847328244274,0.24335047426828404
6511,13463,Italy,Not Provided,Not Provided-Italy,2020-02-28,233.0,888,655.0,4.0,21,17.0,JHU,43.0,12.0,8.0,8.0,6.0,6.0,IT,ITA,60431283.0,45.5,888,7.0,0.15346534653465338,0.23050974173490824
6512,13464,Italy,Not Provided,Not Provided-Italy,2020-02-29,240.0,1128,888.0,8.0,29,21.0,JHU,43.0,12.0,9.0,9.0,7.0,7.0,IT,ITA,60431283.0,45.5,1128,8.0,0.030042918454935563,0.3429766491607578
6513,13465,Italy,Not Provided,Not Provided-Italy,2020-03-01,566.0,1694,1128.0,5.0,34,29.0,JHU,43.0,12.0,10.0,10.0,8.0,8.0,IT,ITA,60431283.0,45.5,1694,9.0,1.3583333333333334,0.36355488045327483
6514,13466,Italy,Not Provided,Not Provided-Italy,2020-03-02,342.0,2036,1694.0,18.0,52,34.0,JHU,43.0,12.0,11.0,11.0,9.0,9.0,IT,ITA,60431283.0,45.5,2036,10.0,-0.39575971731448767,0.33620364587532187
6515,13467,Italy,Not Provided,Not Provided-Italy,2020-03-03,466.0,2502,2036.0,27.0,79,52.0,JHU,43.0,12.0,12.0,12.0,10.0,10.0,IT,ITA,60431283.0,45.5,2502,11.0,0.36257309941520477,0.35132026625510016
6516,13468,Italy,Not Provided,Not Provided-Italy,2020-03-04,587.0,3089,2502.0,28.0,107,79.0,JHU,43.0,12.0,13.0,13.0,11.0,11.0,IT,ITA,60431283.0,45.5,3089,12.0,0.25965665236051505,0.3300423379440831
6517,13469,Italy,Not Provided,Not Provided-Italy,2020-03-05,769.0,3858,3089.0,41.0,148,107.0,JHU,43.0,12.0,14.0,14.0,12.0,12.0,IT,ITA,60431283.0,45.5,3858,13.0,0.3100511073253833,0.29690896287279106
6518,13470,Italy,Not Provided,Not Provided-Italy,2020-03-06,778.0,4636,3858.0,49.0,197,148.0,JHU,43.0,12.0,15.0,15.0,13.0,13.0,IT,ITA,60431283.0,45.5,4636,14.0,0.011703511053315907,0.27665727208974283
6519,13471,Italy,Not Provided,Not Provided-Italy,2020-03-07,1247.0,5883,4636.0,36.0,233,197.0,JHU,43.0,12.0,16.0,16.0,14.0,14.0,IT,ITA,60431283.0,45.5,5883,15.0,0.6028277634961439,0.3584836785242012
6520,13472,Italy,Not Provided,Not Provided-Italy,2020-03-08,1492.0,7375,5883.0,133.0,366,233.0,JHU,43.0,12.0,17.0,17.0,15.0,15.0,IT,ITA,60431283.0,45.5,7375,16.0,0.19647153167602238,0.1925034211445853
6521,13473,Italy,Not Provided,Not Provided-Italy,2020-03-09,1797.0,9172,7375.0,97.0,463,366.0,JHU,43.0,12.0,18.0,18.0,16.0,16.0,IT,ITA,60431283.0,45.5,9172,17.0,0.20442359249329756,0.2782438939742689
6522,13474,Italy,Not Provided,Not Provided-Italy,2020-03-10,977.0,10149,9172.0,168.0,631,463.0,JHU,43.0,12.0,19.0,19.0,17.0,17.0,IT,ITA,60431283.0,45.5,10149,18.0,-0.45631608235948806,0.16125972514931278
6523,13475,Italy,Not Provided,Not Provided-Italy,2020-03-11,2313.0,12462,10149.0,196.0,827,631.0,JHU,43.0,12.0,20.0,20.0,18.0,18.0,IT,ITA,60431283.0,45.5,12462,19.0,1.367451381780962,0.31951611506651945
6524,13476,Italy,Not Provided,Not Provided-Italy,2020-03-12,0.0,12462,12462.0,0.0,827,827.0,JHU,43.0,12.0,21.0,21.0,19.0,19.0,IT,ITA,60431283.0,45.5,12462,20.0,-1.0,0.13236595687717895
6525,13477,Italy,Not Provided,Not Provided-Italy,2020-03-13,5198.0,17660,12462.0,439.0,1266,827.0,JHU,43.0,12.0,22.0,22.0,20.0,20.0,IT,ITA,60431283.0,45.5,17660,21.0,inf,0.15247636451448945
6526,13478,Italy,Not Provided,Not Provided-Italy,2020-03-14,3497.0,21157,17660.0,175.0,1441,1266.0,JHU,43.0,12.0,23.0,23.0,21.0,21.0,IT,ITA,60431283.0,45.5,21157,22.0,-0.32724124663332055,-0.0025351371737546056
6527,13479,Italy,Not Provided,Not Provided-Italy,2020-03-15,3590.0,24747,21157.0,368.0,1809,1441.0,JHU,43.0,12.0,24.0,24.0,22.0,22.0,IT,ITA,60431283.0,45.5,24747,23.0,0.026594223620245883,-0.030848021849717355
6528,13480,Italy,Not Provided,Not Provided-Italy,2020-03-16,3233.0,27980,24747.0,349.0,2158,1809.0,JHU,43.0,12.0,25.0,25.0,23.0,23.0,IT,ITA,60431283.0,45.5,27980,24.0,-0.09944289693593311,-0.08149243675458913
6529,13481,Italy,Not Provided,Not Provided-Italy,2020-03-17,3526.0,31506,27980.0,345.0,2503,2158.0,JHU,43.0,12.0,26.0,26.0,24.0,24.0,IT,ITA,60431283.0,45.5,31506,25.0,0.09062789978348285,0.009664893602572685
6530,13482,Italy,Not Provided,Not Provided-Italy,2020-03-18,4207.0,35713,31506.0,475.0,2978,2503.0,JHU,43.0,12.0,27.0,27.0,25.0,25.0,IT,ITA,60431283.0,45.5,35713,26.0,0.19313669880884854,-0.18605422022611287
6531,13483,Italy,Not Provided,Not Provided-Italy,2020-03-19,5322.0,41035,35713.0,427.0,3405,2978.0,JHU,43.0,12.0,28.0,28.0,26.0,26.0,IT,ITA,60431283.0,45.5,41035,27.0,0.26503446636558126,0.024784857501483997
6532,13484,Italy,Not Provided,Not Provided-Italy,2020-03-20,5986.0,47021,41035.0,627.0,4032,3405.0,JHU,43.0,12.0,29.0,29.0,27.0,27.0,IT,ITA,60431283.0,45.5,47021,28.0,0.12476512589252153,0.03906775298591793
6533,13485,Italy,Not Provided,Not Provided-Italy,2020-03-21,6557.0,53578,47021.0,793.0,4825,4032.0,JHU,43.0,12.0,30.0,30.0,28.0,28.0,IT,ITA,60431283.0,45.5,53578,29.0,0.09538924156364859,0.09944353701405638
6534,13486,Italy,Not Provided,Not Provided-Italy,2020-03-22,5560.0,59138,53578.0,651.0,5476,4825.0,JHU,43.0,12.0,31.0,31.0,29.0,29.0,IT,ITA,60431283.0,45.5,59138,30.0,-0.15205124294646943,0.0739227560759542
6535,13487,Italy,Not Provided,Not Provided-Italy,2020-03-23,4789.0,63927,59138.0,601.0,6077,5476.0,JHU,43.0,12.0,32.0,32.0,30.0,30.0,IT,ITA,60431283.0,45.5,63927,31.0,-0.1386690647482014,0.06831901781705872
6536,13488,Italy,Not Provided,Not Provided-Italy,2020-03-24,5249.0,69176,63927.0,743.0,6820,6077.0,JHU,43.0,12.0,33.0,33.0,31.0,31.0,IT,ITA,60431283.0,45.5,69176,32.0,0.09605345583629155,0.06909409725317425
6537,13489,Italy,Not Provided,Not Provided-Italy,2020-03-25,5210.0,74386,69176.0,683.0,7503,6820.0,JHU,43.0,12.0,34.0,34.0,32.0,32.0,IT,ITA,60431283.0,45.5,74386,33.0,-0.007429986664126531,0.04044171361417781
