region,date,day1_count,daily_new_cases,running_total_cases,daily_new_deaths,running_total_deaths,country_population_2018,country_median_age
Alberta-Canada,3/6/20,1,1,1,0,0,37058856,42.2
Alberta-Canada,3/7/20,2,1,2,0,0,37058856,42.2
Alberta-Canada,3/8/20,3,2,4,0,0,37058856,42.2
Alberta-Canada,3/9/20,4,3,7,0,0,37058856,42.2
Alberta-Canada,3/10/20,5,0,7,0,0,37058856,42.2
Alberta-Canada,3/11/20,6,12,19,0,0,37058856,42.2
Alberta-Canada,3/12/20,7,0,19,0,0,37058856,42.2
Alberta-Canada,3/13/20,8,10,29,0,0,37058856,42.2
Alberta-Canada,3/14/20,9,0,29,0,0,37058856,42.2
Alberta-Canada,3/15/20,10,10,39,0,0,37058856,42.2
Alberta-Canada,3/16/20,11,17,56,0,0,37058856,42.2
Alberta-Canada,3/17/20,12,18,74,0,0,37058856,42.2
Alberta-Canada,3/18/20,13,23,97,0,0,37058856,42.2
Alberta-Canada,3/19/20,14,22,119,0,0,37058856,42.2
Alberta-Canada,3/20/20,15,27,146,1,1,37058856,42.2
Alberta-Canada,3/21/20,16,49,195,0,1,37058856,42.2
Alberta-Canada,3/22/20,17,64,259,0,1,37058856,42.2
Alberta-Canada,3/23/20,18,42,301,0,1,37058856,42.2
Alberta-Canada,3/24/20,19,58,359,0,1,37058856,42.2
Alberta-Canada,3/25/20,20,-1,358,1,2,37058856,42.2
Alberta-Canada,3/26/20,21,128,486,0,2,37058856,42.2
Alberta-Canada,3/27/20,22,56,542,0,2,37058856,42.2
Alberta-Canada,3/28/20,23,0,542,0,2,37058856,42.2
Alberta-Canada,3/29/20,24,79,621,0,2,37058856,42.2
Alberta-Canada,3/30/20,25,40,661,1,3,37058856,42.2
Alberta-Canada,3/31/20,26,29,690,5,8,37058856,42.2
Alberta-Canada,4/1/20,27,64,754,1,9,37058856,42.2
Alberta-Canada,4/2/20,28,215,969,4,13,37058856,42.2
Alberta-Canada,4/3/20,29,0,969,0,13,37058856,42.2
Alberta-Canada,4/4/20,30,106,1075,5,18,37058856,42.2
Alberta-Canada,4/5/20,31,106,1181,2,20,37058856,42.2
Alberta-Canada,4/6/20,32,69,1250,3,23,37058856,42.2
Alberta-Canada,4/7/20,33,123,1373,1,24,37058856,42.2
Alberta-Canada,4/8/20,34,0,1373,2,26,37058856,42.2
Alberta-Canada,4/9/20,35,50,1423,3,29,37058856,42.2
Alberta-Canada,4/10/20,36,28,1451,3,32,37058856,42.2
Alberta-Canada,4/11/20,37,116,1567,8,40,37058856,42.2
Alberta-Canada,4/12/20,38,0,1567,0,40,37058856,42.2
Alberta-Canada,4/13/20,39,165,1732,6,46,37058856,42.2
Alberta-Canada,4/14/20,40,138,1870,2,48,37058856,42.2
Alberta-Canada,4/15/20,41,0,1870,0,48,37058856,42.2
Alberta-Canada,4/16/20,42,126,1996,0,48,37058856,42.2
Alberta-Canada,4/17/20,43,401,2397,2,50,37058856,42.2
Alberta-Canada,4/18/20,44,165,2562,1,51,37058856,42.2
Alberta-Canada,4/19/20,45,241,2803,0,51,37058856,42.2
Alberta-Canada,4/20/20,46,105,2908,8,59,37058856,42.2
Alberta-Canada,4/21/20,47,187,3095,2,61,37058856,42.2
Alberta-Canada,4/22/20,48,306,3401,5,66,37058856,42.2
Alberta-Canada,4/23/20,49,319,3720,2,68,37058856,42.2
Alberta-Canada,4/24/20,50,297,4017,4,72,37058856,42.2
Alberta-Canada,4/25/20,51,216,4233,1,73,37058856,42.2
Alberta-Canada,4/26/20,52,247,4480,0,73,37058856,42.2
Alberta-Canada,4/27/20,53,216,4696,2,75,37058856,42.2
Alberta-Canada,4/28/20,54,154,4850,5,80,37058856,42.2
British Columbia-Canada,1/28/20,1,1,1,0,0,37058856,42.2
British Columbia-Canada,1/29/20,2,0,1,0,0,37058856,42.2
British Columbia-Canada,1/30/20,3,0,1,0,0,37058856,42.2
British Columbia-Canada,1/31/20,4,0,1,0,0,37058856,42.2
British Columbia-Canada,2/1/20,5,0,1,0,0,37058856,42.2
British Columbia-Canada,2/2/20,6,0,1,0,0,37058856,42.2
British Columbia-Canada,2/3/20,7,0,1,0,0,37058856,42.2
British Columbia-Canada,2/4/20,8,0,1,0,0,37058856,42.2
British Columbia-Canada,2/5/20,9,1,2,0,0,37058856,42.2
British Columbia-Canada,2/6/20,10,0,2,0,0,37058856,42.2
British Columbia-Canada,2/7/20,11,2,4,0,0,37058856,42.2
British Columbia-Canada,2/8/20,12,0,4,0,0,37058856,42.2
British Columbia-Canada,2/9/20,13,0,4,0,0,37058856,42.2
British Columbia-Canada,2/10/20,14,0,4,0,0,37058856,42.2
British Columbia-Canada,2/11/20,15,0,4,0,0,37058856,42.2
British Columbia-Canada,2/12/20,16,0,4,0,0,37058856,42.2
British Columbia-Canada,2/13/20,17,0,4,0,0,37058856,42.2
British Columbia-Canada,2/14/20,18,0,4,0,0,37058856,42.2
British Columbia-Canada,2/15/20,19,0,4,0,0,37058856,42.2
British Columbia-Canada,2/16/20,20,0,4,0,0,37058856,42.2
British Columbia-Canada,2/17/20,21,1,5,0,0,37058856,42.2
British Columbia-Canada,2/18/20,22,0,5,0,0,37058856,42.2
British Columbia-Canada,2/19/20,23,0,5,0,0,37058856,42.2
British Columbia-Canada,2/20/20,24,0,5,0,0,37058856,42.2
British Columbia-Canada,2/21/20,25,1,6,0,0,37058856,42.2
British Columbia-Canada,2/22/20,26,0,6,0,0,37058856,42.2
British Columbia-Canada,2/23/20,27,0,6,0,0,37058856,42.2
British Columbia-Canada,2/24/20,28,0,6,0,0,37058856,42.2
British Columbia-Canada,2/25/20,29,1,7,0,0,37058856,42.2
British Columbia-Canada,2/26/20,30,0,7,0,0,37058856,42.2
British Columbia-Canada,2/27/20,31,0,7,0,0,37058856,42.2
British Columbia-Canada,2/28/20,32,0,7,0,0,37058856,42.2
British Columbia-Canada,2/29/20,33,1,8,0,0,37058856,42.2
British Columbia-Canada,3/1/20,34,0,8,0,0,37058856,42.2
British Columbia-Canada,3/2/20,35,0,8,0,0,37058856,42.2
British Columbia-Canada,3/3/20,36,1,9,0,0,37058856,42.2
British Columbia-Canada,3/4/20,37,3,12,0,0,37058856,42.2
British Columbia-Canada,3/5/20,38,1,13,0,0,37058856,42.2
British Columbia-Canada,3/6/20,39,8,21,0,0,37058856,42.2
British Columbia-Canada,3/7/20,40,0,21,0,0,37058856,42.2
British Columbia-Canada,3/8/20,41,6,27,0,0,37058856,42.2
British Columbia-Canada,3/9/20,42,5,32,1,1,37058856,42.2
British Columbia-Canada,3/10/20,43,0,32,0,1,37058856,42.2
British Columbia-Canada,3/11/20,44,7,39,0,1,37058856,42.2
British Columbia-Canada,3/12/20,45,7,46,0,1,37058856,42.2
British Columbia-Canada,3/13/20,46,18,64,0,1,37058856,42.2
British Columbia-Canada,3/14/20,47,0,64,0,1,37058856,42.2
British Columbia-Canada,3/15/20,48,9,73,0,1,37058856,42.2
British Columbia-Canada,3/16/20,49,30,103,3,4,37058856,42.2
British Columbia-Canada,3/17/20,50,0,103,0,4,37058856,42.2
British Columbia-Canada,3/18/20,51,83,186,3,7,37058856,42.2
British Columbia-Canada,3/19/20,52,45,231,0,7,37058856,42.2
British Columbia-Canada,3/20/20,53,40,271,1,8,37058856,42.2
