region,date,day1_count,daily_new_cases,running_total_cases,daily_new_deaths,running_total_deaths,country_population_2018,country_median_age
Afghanistan,2/24/20,1,1,1,0,0,37172386,18.9
Afghanistan,2/25/20,2,0,1,0,0,37172386,18.9
Afghanistan,2/26/20,3,0,1,0,0,37172386,18.9
Afghanistan,2/27/20,4,0,1,0,0,37172386,18.9
Afghanistan,2/28/20,5,0,1,0,0,37172386,18.9
Afghanistan,2/29/20,6,0,1,0,0,37172386,18.9
Afghanistan,3/1/20,7,0,1,0,0,37172386,18.9
Afghanistan,3/2/20,8,0,1,0,0,37172386,18.9
Afghanistan,3/3/20,9,0,1,0,0,37172386,18.9
Afghanistan,3/4/20,10,0,1,0,0,37172386,18.9
Afghanistan,3/5/20,11,0,1,0,0,37172386,18.9
Afghanistan,3/6/20,12,0,1,0,0,37172386,18.9
Afghanistan,3/7/20,13,0,1,0,0,37172386,18.9
Afghanistan,3/8/20,14,3,4,0,0,37172386,18.9
Afghanistan,3/9/20,15,0,4,0,0,37172386,18.9
Afghanistan,3/10/20,16,1,5,0,0,37172386,18.9
Afghanistan,3/11/20,17,2,7,0,0,37172386,18.9
Afghanistan,3/12/20,18,0,7,0,0,37172386,18.9
Afghanistan,3/13/20,19,0,7,0,0,37172386,18.9
Afghanistan,3/14/20,20,4,11,0,0,37172386,18.9
Afghanistan,3/15/20,21,5,16,0,0,37172386,18.9
Afghanistan,3/16/20,22,5,21,0,0,37172386,18.9
Afghanistan,3/17/20,23,1,22,0,0,37172386,18.9
Afghanistan,3/18/20,24,0,22,0,0,37172386,18.9
Afghanistan,3/19/20,25,0,22,0,0,37172386,18.9
Afghanistan,3/20/20,26,2,24,0,0,37172386,18.9
Afghanistan,3/21/20,27,0,24,0,0,37172386,18.9
Afghanistan,3/22/20,28,16,40,1,1,37172386,18.9
Afghanistan,3/23/20,29,0,40,0,1,37172386,18.9
Afghanistan,3/24/20,30,34,74,0,1,37172386,18.9
Afghanistan,3/25/20,31,10,84,1,2,37172386,18.9
Afghanistan,3/26/20,32,10,94,2,4,37172386,18.9
Afghanistan,3/27/20,33,16,110,0,4,37172386,18.9
Afghanistan,3/28/20,34,0,110,0,4,37172386,18.9
Afghanistan,3/29/20,35,10,120,0,4,37172386,18.9
Afghanistan,3/30/20,36,50,170,0,4,37172386,18.9
Afghanistan,3/31/20,37,4,174,0,4,37172386,18.9
Afghanistan,4/1/20,38,63,237,0,4,37172386,18.9
Afghanistan,4/2/20,39,36,273,2,6,37172386,18.9
Afghanistan,4/3/20,40,8,281,0,6,37172386,18.9
Afghanistan,4/4/20,41,18,299,1,7,37172386,18.9
Afghanistan,4/5/20,42,50,349,0,7,37172386,18.9
Afghanistan,4/6/20,43,18,367,4,11,37172386,18.9
Afghanistan,4/7/20,44,56,423,3,14,37172386,18.9
Afghanistan,4/8/20,45,21,444,0,14,37172386,18.9
Afghanistan,4/9/20,46,40,484,1,15,37172386,18.9
Afghanistan,4/10/20,47,37,521,0,15,37172386,18.9
Afghanistan,4/11/20,48,34,555,3,18,37172386,18.9
Afghanistan,4/12/20,49,52,607,0,18,37172386,18.9
Afghanistan,4/13/20,50,58,665,3,21,37172386,18.9
Afghanistan,4/14/20,51,49,714,2,23,37172386,18.9
Afghanistan,4/15/20,52,70,784,2,25,37172386,18.9
Afghanistan,4/16/20,53,56,840,5,30,37172386,18.9
Afghanistan,4/17/20,54,66,906,0,30,37172386,18.9
Afghanistan,4/18/20,55,27,933,0,30,37172386,18.9
Afghanistan,4/19/20,56,63,996,3,33,37172386,18.9
Afghanistan,4/20/20,57,30,1026,3,36,37172386,18.9
Afghanistan,4/21/20,58,66,1092,0,36,37172386,18.9
Afghanistan,4/22/20,59,84,1176,4,40,37172386,18.9
Afghanistan,4/23/20,60,103,1279,2,42,37172386,18.9
Afghanistan,4/24/20,61,72,1351,1,43,37172386,18.9
Afghanistan,4/25/20,62,112,1463,4,47,37172386,18.9
Afghanistan,4/26/20,63,68,1531,3,50,37172386,18.9
Afghanistan,4/27/20,64,172,1703,7,57,37172386,18.9
Afghanistan,4/28/20,65,125,1828,1,58,37172386,18.9
Algeria,2/25/20,1,1,1,0,0,42228429,28.1
Algeria,2/26/20,2,0,1,0,0,42228429,28.1
Algeria,2/27/20,3,0,1,0,0,42228429,28.1
Algeria,2/28/20,4,0,1,0,0,42228429,28.1
Algeria,2/29/20,5,0,1,0,0,42228429,28.1
Algeria,3/1/20,6,0,1,0,0,42228429,28.1
Algeria,3/2/20,7,2,3,0,0,42228429,28.1
Algeria,3/3/20,8,2,5,0,0,42228429,28.1
Algeria,3/4/20,9,7,12,0,0,42228429,28.1
Algeria,3/5/20,10,0,12,0,0,42228429,28.1
Algeria,3/6/20,11,5,17,0,0,42228429,28.1
Algeria,3/7/20,12,0,17,0,0,42228429,28.1
Algeria,3/8/20,13,2,19,0,0,42228429,28.1
Algeria,3/9/20,14,1,20,0,0,42228429,28.1
Algeria,3/10/20,15,0,20,0,0,42228429,28.1
Algeria,3/11/20,16,0,20,0,0,42228429,28.1
Algeria,3/12/20,17,4,24,1,1,42228429,28.1
Algeria,3/13/20,18,2,26,1,2,42228429,28.1
Algeria,3/14/20,19,11,37,1,3,42228429,28.1
Algeria,3/15/20,20,11,48,1,4,42228429,28.1
Algeria,3/16/20,21,6,54,0,4,42228429,28.1
Algeria,3/17/20,22,6,60,0,4,42228429,28.1
Algeria,3/18/20,23,14,74,3,7,42228429,28.1
Algeria,3/19/20,24,13,87,2,9,42228429,28.1
Algeria,3/20/20,25,3,90,2,11,42228429,28.1
Algeria,3/21/20,26,49,139,4,15,42228429,28.1
Algeria,3/22/20,27,62,201,2,17,42228429,28.1
Algeria,3/23/20,28,29,230,0,17,42228429,28.1
Algeria,3/24/20,29,34,264,2,19,42228429,28.1
Algeria,3/25/20,30,38,302,2,21,42228429,28.1
Algeria,3/26/20,31,65,367,4,25,42228429,28.1
Algeria,3/27/20,32,42,409,1,26,42228429,28.1
Algeria,3/28/20,33,45,454,3,29,42228429,28.1
Algeria,3/29/20,34,57,511,2,31,42228429,28.1
Algeria,3/30/20,35,73,584,4,35,42228429,28.1
Algeria,3/31/20,36,132,716,9,44,42228429,28.1
Algeria,4/1/20,37,131,847,14,58,42228429,28.1
Algeria,4/2/20,38,139,986,28,86,42228429,28.1
Algeria,4/3/20,39,185,1171,19,105,42228429,28.1
Algeria,4/4/20,40,80,1251,25,130,42228429,28.1
Algeria,4/5/20,41,69,1320,22,152,42228429,28.1
Algeria,4/6/20,42,103,1423,21,173,42228429,28.1
Algeria,4/7/20,43,45,1468,20,193,42228429,28.1
Algeria,4/8/20,44,104,1572,12,205,42228429,28.1
Algeria,4/9/20,45,94,1666,30,235,42228429,28.1
Algeria,4/10/20,46,95,1761,21,256,42228429,28.1
Algeria,4/11/20,47,64,1825,19,275,42228429,28.1
Algeria,4/12/20,48,89,1914,18,293,42228429,28.1
Algeria,4/13/20,49,69,1983,20,313,42228429,28.1
Algeria,4/14/20,50,87,2070,13,326,42228429,28.1
Algeria,4/15/20,51,90,2160,10,336,42228429,28.1
Algeria,4/16/20,52,108,2268,12,348,42228429,28.1
Algeria,4/17/20,53,150,2418,16,364,42228429,28.1
Algeria,4/18/20,54,116,2534,3,367,42228429,28.1
Algeria,4/19/20,55,95,2629,8,375,42228429,28.1
Algeria,4/20/20,56,89,2718,9,384,42228429,28.1
Algeria,4/21/20,57,93,2811,8,392,42228429,28.1
Algeria,4/22/20,58,99,2910,10,402,42228429,28.1
Algeria,4/23/20,59,97,3007,5,407,42228429,28.1
Algeria,4/24/20,60,120,3127,8,415,42228429,28.1
Algeria,4/25/20,61,129,3256,4,419,42228429,28.1
Algeria,4/26/20,62,126,3382,6,425,42228429,28.1
Algeria,4/27/20,63,135,3517,7,432,42228429,28.1
Algeria,4/28/20,64,132,3649,5,437,42228429,28.1
Angola,3/20/20,1,1,1,0,0,30809762,15.9
Angola,3/21/20,2,1,2,0,0,30809762,15.9
Angola,3/22/20,3,0,2,0,0,30809762,15.9
Angola,3/23/20,4,1,3,0,0,30809762,15.9
Angola,3/24/20,5,0,3,0,0,30809762,15.9
Angola,3/25/20,6,0,3,0,0,30809762,15.9
Angola,3/26/20,7,1,4,0,0,30809762,15.9
Angola,3/27/20,8,0,4,0,0,30809762,15.9
Angola,3/28/20,9,1,5,0,0,30809762,15.9
Angola,3/29/20,10,2,7,2,2,30809762,15.9
Angola,3/30/20,11,0,7,0,2,30809762,15.9
Angola,3/31/20,12,0,7,0,2,30809762,15.9
Angola,4/1/20,13,1,8,0,2,30809762,15.9
Angola,4/2/20,14,0,8,0,2,30809762,15.9
Angola,4/3/20,15,0,8,0,2,30809762,15.9
Angola,4/4/20,16,2,10,0,2,30809762,15.9
Angola,4/5/20,17,4,14,0,2,30809762,15.9
Angola,4/6/20,18,2,16,0,2,30809762,15.9
Angola,4/7/20,19,1,17,0,2,30809762,15.9
Angola,4/8/20,20,2,19,0,2,30809762,15.9
Angola,4/9/20,21,0,19,0,2,30809762,15.9
Angola,4/10/20,22,0,19,0,2,30809762,15.9
Angola,4/11/20,23,0,19,0,2,30809762,15.9
Angola,4/12/20,24,0,19,0,2,30809762,15.9
Angola,4/13/20,25,0,19,0,2,30809762,15.9
Angola,4/14/20,26,0,19,0,2,30809762,15.9
Angola,4/15/20,27,0,19,0,2,30809762,15.9
Angola,4/16/20,28,0,19,0,2,30809762,15.9
Angola,4/17/20,29,0,19,0,2,30809762,15.9
Angola,4/18/20,30,5,24,0,2,30809762,15.9
Angola,4/19/20,31,0,24,0,2,30809762,15.9
Angola,4/20/20,32,0,24,0,2,30809762,15.9
Angola,4/21/20,33,0,24,0,2,30809762,15.9
Angola,4/22/20,34,1,25,0,2,30809762,15.9
Angola,4/23/20,35,0,25,0,2,30809762,15.9
Angola,4/24/20,36,0,25,0,2,30809762,15.9
Angola,4/25/20,37,0,25,0,2,30809762,15.9
Angola,4/26/20,38,1,26,0,2,30809762,15.9
Angola,4/27/20,39,1,27,0,2,30809762,15.9
Angola,4/28/20,40,0,27,0,2,30809762,15.9
